Degree,Training_score,Testing_score,MSE_Test_dataset
143,0.9879056040766222,-1.2658348293083147e+37,4.273458383744871e+38
144,0.9877224581075883,-2.9385881296201045e+35,9.920673525597474e+36
145,0.9866305934736899,-5.515289998756785e+36,1.8619619035802906e+38
146,0.9876194505996309,-6.295464514635043e+36,2.125348820140791e+38
147,0.9876916035289611,-4.8450922036159314e+36,1.6357031279407385e+38
148,0.9877171017659715,-2.2392434261570732e+36,7.55968580670628e+37
149,0.9876748954467011,-2.412054572369073e+36,8.143096236317991e+37
150,0.9877184842058652,-2.4931735443374473e+37,8.416953885683223e+38
151,0.9877862281791425,-4.969502913308317e+37,1.6777041835328877e+39
152,0.9877974622317225,-6.033434358819604e+37,2.0368874395374983e+39
153,0.9879194837717232,-1.5961343639012503e+37,5.3885496125306214e+38
154,0.9878882579551106,-1.2740562071300868e+37,4.301213755271174e+38
155,0.9880345816238623,-1.0260792576587445e+37,3.464043573855922e+38
156,0.9880823045018197,-3.995787988142059e+36,1.3489780247967593e+38
157,0.9880734052646755,-1.159833742658463e+34,3.915598715214971e+35
158,0.9880747542092635,-9.968576678858647e+34,3.365391486782679e+36
159,0.988195752989649,-1.4542875536347062e+37,4.909674781070769e+38
160,0.9880971979708095,-3.902831964049878e+36,1.3175960710632389e+38
161,0.9881115431914315,-2.8085501487784644e+37,9.481665302276095e+38
162,0.9881340143074775,-9.817139393659059e+36,3.3142662592992988e+38
163,0.9881135044993428,-2.2893682677799068e+36,7.728907272024966e+37
164,0.9880532039470951,-3.623550699579369e+37,1.223310716177995e+39
165,0.9881119441685029,-1.4338290033570198e+37,4.8406067153333e+38
166,0.9881104149185819,-4.9002537293887925e+35,1.6543256590416564e+37
167,0.9881181866300992,-1.038689027138751e+37,3.506614155620424e+38
168,0.9881461180613382,-8.196544444588473e+37,2.7671534044930687e+39
169,0.9881992138391258,-8.409134135014566e+36,2.8389236839809177e+38
170,0.9881148880153329,-8.053180224052289e+36,2.718753643640053e+38
171,0.9882179017341102,-1.9634086616469296e+38,6.628467641720035e+39
172,0.9881698822000687,-1.1326132629159938e+38,3.8237023756043955e+39
173,0.9881390422845627,-4.1493259607416855e+38,1.400812444346393e+40
174,0.9881315733970119,-8.704054378974486e+37,2.938488758341786e+39
175,0.9881520215101071,-4.180618782831626e+38,1.411376901083957e+40
176,0.9881450803654196,-4.7233055414704636e+38,1.5945879508004285e+40
177,0.9881597920023405,-4.4243954163677716e+38,1.4936758925657599e+40
178,0.9881280035103378,-1.0852944122289657e+39,3.6639539356849883e+40
179,0.9881297565915954,-5.9631992862134596e+38,2.0131760790256642e+40
180,0.9880945626638256,-7.835525943151891e+38,2.645273558408079e+40
181,0.9881112933684855,-9.08136073522616e+38,3.065867384212352e+40
182,0.9880559994910534,-5.2582013952804675e+38,1.7751687910466859e+40
183,0.9880674664850321,-4.5820399007912685e+38,1.5468966705071324e+40
184,0.9880345336936702,-3.604753675480689e+38,1.2169648408422807e+40
185,0.9880952357533214,-3.329472251119152e+38,1.124029831977826e+40
186,0.9880538331170785,-1.875355653783741e+38,6.33120068717391e+39
187,0.9881785483734711,-9.081980651630701e+38,3.066076667990525e+40
188,0.9882500694319604,-1.3616825499340855e+39,4.597040288577473e+40
189,0.9881483826340819,-4.110637207603892e+38,1.387751121287074e+40
190,0.9881794858198605,-5.1348246843504505e+36,1.7335168134367122e+38
191,0.9881880647299145,-1.2905587745007644e+38,4.3569264227145814e+39
192,0.9882160815329126,-2.899089793702082e+38,9.787327143538229e+39
193,0.9881827184259905,-9.731765235274821e+38,3.28544394342878e+40
194,0.9881891137752981,-9.851358120043348e+38,3.3258185013266345e+40
195,0.9881895870873452,-2.472136789328386e+39,8.345933800772632e+40
196,0.9881503042665586,-1.6121097529439126e+39,5.442482525938649e+40
197,0.9881592730057446,-3.4713156610411964e+39,1.171916167167508e+41
198,0.988107572564143,-4.0781758524559034e+40,1.376792167789113e+42
199,0.9882064580775479,-6.618706279329035e+39,2.2344752399014827e+41
200,0.9881527002552712,-2.7950797303600795e+39,9.436189169695628e+40
